,type,年,月/日,縣市,地區
466,住宅竊盜,106,0522,南投縣,埔里鎮
467,住宅竊盜,106,0522,新北市,樹林區
468,住宅竊盜,106,0523,雲林縣,莿桐鄉
469,住宅竊盜,106,0523,台北市,北投區
470,住宅竊盜,106,0523,新北市,新店區
471,住宅竊盜,106,0523,屏東縣,東港鎮
472,住宅竊盜,106,0523,花蓮縣,鳳林鎮
473,住宅竊盜,106,0523,新北市,新莊區
474,住宅竊盜,106,0523,台北市,中山區
475,住宅竊盜,106,0523,基隆市,中正區
476,住宅竊盜,106,0523,台北市,中山區
477,住宅竊盜,106,0523,基隆市,暖暖區
478,住宅竊盜,106,0524,台北市,中山區
479,住宅竊盜,106,0524,屏東縣,屏東市
480,住宅竊盜,106,0524,桃園市,八德區
481,住宅竊盜,106,0524,新北市,石門區
482,住宅竊盜,106,0525,新竹縣,竹東鎮
483,住宅竊盜,106,0525,台南市,仁德區
484,住宅竊盜,106,0525,台南市,新營區
485,住宅竊盜,106,0525,宜蘭縣,礁溪鄉
486,住宅竊盜,106,0525,台北市,文山區
487,住宅竊盜,106,0525,台南市,佳里區
488,住宅竊盜,106,0525,台南市,東山區
489,住宅竊盜,106,0525,高雄市,左營區
490,住宅竊盜,106,0525,台中市,北區
491,住宅竊盜,106,0526,宜蘭縣,宜蘭市
492,住宅竊盜,106,0526,新北市,淡水區
493,住宅竊盜,106,0527,新北市,板橋區
494,住宅竊盜,106,0527,桃園市,中壢區
495,住宅竊盜,106,0527,雲林縣,元長鄉
496,住宅竊盜,106,0527,台南市,永康區
497,住宅竊盜,106,0527,新竹市,香山區
498,住宅竊盜,106,0527,台南市,安平區
499,住宅竊盜,106,0528,台南市,六甲區
500,住宅竊盜,106,0528,花蓮縣,秀林鄉
501,住宅竊盜,106,0528,台中市,太平區
502,住宅竊盜,106,0528,雲林縣,虎尾鎮
503,住宅竊盜,106,0528,高雄市,左營區
504,住宅竊盜,106,0528,台南市,北區
505,住宅竊盜,106,0529,台北市,中山區
506,住宅竊盜,106,0529,彰化縣,大城鄉
507,住宅竊盜,106,0529,苗栗縣,竹南鎮
508,住宅竊盜,106,0530,高雄市,內門區
509,住宅竊盜,106,0530,新竹市,北區
510,住宅竊盜,106,0530,雲林縣,口湖鄉
511,住宅竊盜,106,0530,雲林縣,台西鄉
512,住宅竊盜,106,0530,台北市,中山區
513,住宅竊盜,106,0530,金門縣,金城鎮
514,住宅竊盜,106,0531,南投縣,埔里鎮
515,住宅竊盜,106,0531,台北市,大安區
516,住宅竊盜,106,0531,苗栗縣,竹南鎮
517,住宅竊盜,106,0531,台北市,萬華區
518,住宅竊盜,106,0531,台南市,歸仁區
519,住宅竊盜,106,0531,新竹市,東區
520,住宅竊盜,106,0531,嘉義縣,六腳鄉
521,住宅竊盜,106,0531,花蓮縣,花蓮市
522,住宅竊盜,106,0531,新北市,樹林區
523,住宅竊盜,106,0531,雲林縣,二崙鄉
524,住宅竊盜,106,0601,台南市,永康區
525,住宅竊盜,106,0601,台北市,中正區
526,住宅竊盜,106,0601,台北市,松山區
527,住宅竊盜,106,0601,新北市,永和區
528,住宅竊盜,106,0601,台北市,南港區
529,住宅竊盜,106,0601,新北市,土城區
530,住宅竊盜,106,0601,新北市,新店區
531,住宅竊盜,106,0602,高雄市,鳳山區
532,住宅竊盜,106,0602,台南市,學甲區
533,住宅竊盜,106,0603,雲林縣,北港鎮
534,住宅竊盜,106,0603,新北市,鶯歌區
535,住宅竊盜,106,0603,台中市,北屯區
536,住宅竊盜,106,0604,花蓮縣,鳳林鎮
537,住宅竊盜,106,0604,台北市,大安區
538,住宅竊盜,106,0604,宜蘭縣,礁溪鄉
539,住宅竊盜,106,0604,台南市,永康區
540,住宅竊盜,106,0604,新北市,永和區
541,住宅竊盜,106,0604,新北市,中和區
542,住宅竊盜,106,0605,新北市,中和區
543,住宅竊盜,106,0605,宜蘭縣,羅東鎮
544,住宅竊盜,106,0605,台南市,中西區
545,住宅竊盜,106,0606,苗栗縣,後龍鎮
546,住宅竊盜,106,0606,宜蘭縣,羅東鎮
547,住宅竊盜,106,0606,宜蘭縣,蘇澳鎮
548,住宅竊盜,106,0606,台北市,士林區
549,住宅竊盜,106,0606,新北市,樹林區
550,住宅竊盜,106,0606,台南市,麻豆區
551,住宅竊盜,106,0606,台北市,士林區
552,住宅竊盜,106,0606,台南市,將軍區
553,住宅竊盜,106,0607,桃園市,龜山區
554,住宅竊盜,106,0607,宜蘭縣,頭城鎮
555,住宅竊盜,106,0607,高雄市,鳳山區
556,住宅竊盜,106,0607,台北市,南港區
