,縣市名,地區名,電影院,百貨,好市多,全聯,頂好
316,屏東縣,內埔鄉,0,0,0,0,3
317,屏東縣,萬丹鄉,0,0,0,0,1
318,屏東縣,潮州鎮,0,0,0,0,3
319,屏東縣,泰武鄉,0,0,0,0,0
320,屏東縣,來義鄉,0,0,0,0,0
321,屏東縣,萬巒鄉,0,0,0,0,0
322,屏東縣,崁頂鄉,0,0,0,0,0
323,屏東縣,新埤鄉,0,0,0,0,0
324,屏東縣,南州鄉,0,0,0,0,0
325,屏東縣,林邊鄉,0,0,0,0,0
326,屏東縣,東港鎮,0,0,0,0,2
327,屏東縣,琉球鄉,0,0,0,0,0
328,屏東縣,佳冬鄉,0,0,0,0,1
329,屏東縣,新園鄉,0,0,0,0,0
330,屏東縣,枋寮鄉,0,0,0,0,1
331,屏東縣,枋山鄉,0,0,0,0,0
332,屏東縣,春日鄉,0,0,0,0,0
333,屏東縣,獅子鄉,0,0,0,0,0
334,屏東縣,車城鄉,0,0,0,0,0
335,屏東縣,牡丹鄉,0,0,0,0,0
336,屏東縣,恆春鎮,0,0,0,0,2
337,屏東縣,滿州鄉,0,0,0,0,0
338,臺東縣,臺東市,1,0,0,0,0
339,臺東縣,綠島鄉,0,0,0,0,0
340,臺東縣,蘭嶼鄉,0,0,0,0,0
341,臺東縣,延平鄉,0,0,0,0,0
342,臺東縣,卑南鄉,0,0,0,0,0
343,臺東縣,鹿野鄉,0,0,0,0,0
344,臺東縣,關山鎮,0,0,0,0,0
345,臺東縣,海端鄉,0,0,0,0,0
346,臺東縣,池上鄉,0,0,0,0,0
347,臺東縣,東河鄉,0,0,0,0,0
348,臺東縣,成功鎮,0,0,0,0,0
349,臺東縣,長濱鄉,0,0,0,0,0
350,臺東縣,金峰鄉,0,0,0,0,0
351,臺東縣,大武鄉,0,0,0,0,0
352,臺東縣,達仁鄉,0,0,0,0,0
353,花蓮縣,花蓮市,1,0,0,0,4
354,花蓮縣,新城鄉,0,0,0,0,0
355,花蓮縣,秀林鄉,0,0,0,0,0
356,花蓮縣,吉安鄉,1,0,0,0,3
357,花蓮縣,壽豐鄉,0,0,0,0,0
358,花蓮縣,鳳林鎮,0,0,0,0,1
359,花蓮縣,光復鄉,0,0,0,0,1
360,花蓮縣,豐濱鄉,0,0,0,0,0
361,花蓮縣,瑞穗鄉,0,0,0,0,0
362,花蓮縣,萬榮鄉,0,0,0,0,0
363,花蓮縣,玉里鎮,0,0,0,0,2
364,花蓮縣,卓溪鄉,0,0,0,0,0
365,花蓮縣,富里鄉,0,0,0,0,0
